,flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
60,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,E,E27,20.0,2022-04-03T16:55:00+00:00,2022-04-03T16:55:00+00:00,,,,Texarkana Municipal,America/Chicago,TXK,KTXK,,2,,,2022-04-03T17:55:00+00:00,2022-04-03T17:55:00+00:00,,,,American Airlines,AA,AAL,4008,AA4008,AAL4008,,,,,,,,,,,,,
61,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B44,20.0,2022-04-03T16:56:00+00:00,2022-04-03T16:56:00+00:00,,,,Will Rogers World Airport,America/Chicago,OKC,KOKC,4,8,,,2022-04-03T17:59:00+00:00,2022-04-03T17:59:00+00:00,,,,American Airlines,AA,AAL,3771,AA3771,AAL3771,,,,,,,,,,,,,
62,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A9,22.0,2022-04-03T17:00:00+00:00,2022-04-03T17:00:00+00:00,,,,Sky Harbor International,America/Phoenix,PHX,KPHX,4,A5,,,2022-04-03T17:41:00+00:00,2022-04-03T17:41:00+00:00,,,,American Airlines,AA,AAL,1885,AA1885,AAL1885,,,,,,,,,,,,,
63,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C26,17.0,2022-04-03T17:01:00+00:00,2022-04-03T17:01:00+00:00,,,,Key West International Airport,America/New_York,EYW,KEYW,A,6,1,,2022-04-03T20:35:00+00:00,2022-04-03T20:35:00+00:00,,,,American Airlines,AA,AAL,1576,AA1576,AAL1576,,,,,,,,,,,,,
64,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B2,22.0,2022-04-03T17:01:00+00:00,2022-04-03T17:01:00+00:00,,,,La Plata,America/Denver,DRO,KDRO,,,,,2022-04-03T18:13:00+00:00,2022-04-03T18:13:00+00:00,,,,American Airlines,AA,AAL,3162,AA3162,AAL3162,,,,,,,,,,,,,
65,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C22,17.0,2022-04-03T17:02:00+00:00,2022-04-03T17:02:00+00:00,,,,Salt Lake City International,America/Denver,SLC,KSLC,1,,,,2022-04-03T18:52:00+00:00,2022-04-03T18:52:00+00:00,,,,American Airlines,AA,AAL,1456,AA1456,AAL1456,,,,,,,,,,,,,
66,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C7,17.0,2022-04-03T17:05:00+00:00,2022-04-03T17:05:00+00:00,,,,Logan International,America/New_York,BOS,KBOS,B,B22,2,,2022-04-03T21:39:00+00:00,2022-04-03T21:39:00+00:00,,,,American Airlines,AA,AAL,1048,AA1048,AAL1048,,,,,,,,,,,,,
67,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,D,D31,17.0,2022-04-03T17:08:00+00:00,2022-04-03T17:08:00+00:00,,,,Vancouver International,America/Vancouver,YVR,CYVR,I,,20,,2022-04-03T19:35:00+00:00,2022-04-03T19:35:00+00:00,,,,American Airlines,AA,AAL,1434,AA1434,AAL1434,,,,,,,,,,,,,
68,2022-04-03,active,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B28,9.0,2022-04-03T13:01:00+00:00,2022-04-03T13:01:00+00:00,2022-04-03T13:10:00+00:00,2022-04-03T13:10:00+00:00,2022-04-03T13:10:00+00:00,NW Florida Beaches Int,America/Chicago,ECP,KECP,S,6,BA2,,2022-04-03T14:52:00+00:00,2022-04-03T14:52:00+00:00,,,,American Airlines,AA,AAL,5775,AA5775,AAL5775,,N925FJ,CRJ9,CRJ9,ACD143,2022-04-03T18:39:51+00:00,32.55,-94.67,7063.74,179.07,455.652,32.76,False
69,2022-04-03,active,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,E,E25,26.0,2022-04-03T12:39:00+00:00,2022-04-03T12:39:00+00:00,2022-04-03T13:05:00+00:00,2022-04-03T13:05:00+00:00,2022-04-03T13:05:00+00:00,Garden City Municipal Airport,America/Chicago,GCK,KGCK,E,1,,,2022-04-03T14:18:00+00:00,2022-04-03T14:18:00+00:00,,,,American Airlines,AA,AAL,3906,AA3906,AAL3906,,,,,,,,,,,,,
